method,seed,interval,t_start_s,t_end_s,species,mean_normalized_squared_endpoint_error
original,2,15,15.517241477966309,16.55172348022461,DG,0.0001522760430816561
original,2,15,15.517241477966309,16.55172348022461,MG,4.0899110899772495e-05
original,2,15,15.517241477966309,16.55172348022461,GL,1.782564868335612e-05
original,2,15,15.517241477966309,16.55172348022461,RCO2R,1.4368246411322616e-05
original,2,16,16.55172348022461,17.586206436157227,TG,1.4605908290832303e-05
original,2,16,16.55172348022461,17.586206436157227,ROH,2.8083723009331152e-05
original,2,16,16.55172348022461,17.586206436157227,DG,0.00015532734687440097
original,2,16,16.55172348022461,17.586206436157227,MG,4.3415311665739864e-05
original,2,16,16.55172348022461,17.586206436157227,GL,1.7260921595152467e-05
original,2,16,16.55172348022461,17.586206436157227,RCO2R,1.669690027483739e-05
original,2,17,17.586206436157227,18.620689392089844,TG,1.5198081200651359e-05
original,2,17,17.586206436157227,18.620689392089844,ROH,3.114607170573436e-05
original,2,17,17.586206436157227,18.620689392089844,DG,0.00015867807087488472
original,2,17,17.586206436157227,18.620689392089844,MG,4.56673042208422e-05
original,2,17,17.586206436157227,18.620689392089844,GL,1.787286964827217e-05
original,2,17,17.586206436157227,18.620689392089844,RCO2R,1.896448156912811e-05
original,2,18,18.620689392089844,19.65517234802246,TG,1.571898792462889e-05
original,2,18,18.620689392089844,19.65517234802246,ROH,3.400985588086769e-05
original,2,18,18.620689392089844,19.65517234802246,DG,0.00016220708494074643
original,2,18,18.620689392089844,19.65517234802246,MG,4.777475260198116e-05
original,2,18,18.620689392089844,19.65517234802246,GL,1.944697942235507e-05
original,2,18,18.620689392089844,19.65517234802246,RCO2R,2.112784204655327e-05
original,2,19,19.65517234802246,20.689655303955078,TG,1.6176771168829873e-05
original,2,19,19.65517234802246,20.689655303955078,ROH,3.6661796912085265e-05
original,2,19,19.65517234802246,20.689655303955078,DG,0.00016582966782152653
original,2,19,19.65517234802246,20.689655303955078,MG,4.9843663873616606e-05
original,2,19,19.65517234802246,20.689655303955078,GL,2.1785748685942963e-05
original,2,19,19.65517234802246,20.689655303955078,RCO2R,2.3171054635895416e-05
original,2,20,20.689655303955078,21.724138259887695,TG,1.658149267314002e-05
original,2,20,20.689655303955078,21.724138259887695,ROH,3.910099621862173e-05
original,2,20,20.689655303955078,21.724138259887695,DG,0.000169456034200266
original,2,20,20.689655303955078,21.724138259887695,MG,5.19572822668124e-05
original,2,20,20.689655303955078,21.724138259887695,GL,2.4714487153687514e-05
original,2,20,20.689655303955078,21.724138259887695,RCO2R,2.5074343284359202e-05
original,2,21,21.724138259887695,22.758621215820312,TG,1.6938896806095727e-05
original,2,21,21.724138259887695,22.758621215820312,ROH,4.133380571147427e-05
original,2,21,21.724138259887695,22.758621215820312,DG,0.00017304012726526707
original,2,21,21.724138259887695,22.758621215820312,MG,5.418037108029239e-05
original,2,21,21.724138259887695,22.758621215820312,GL,2.8077018214389682e-05
original,2,21,21.724138259887695,22.758621215820312,RCO2R,2.6842088118428364e-05
original,2,22,22.758621215820312,23.79310417175293,TG,1.7256159480893984e-05
original,2,22,22.758621215820312,23.79310417175293,ROH,4.336961137596518e-05
original,2,22,22.758621215820312,23.79310417175293,DG,0.00017653581744525582
original,2,22,22.758621215820312,23.79310417175293,MG,5.656940629705787e-05
original,2,22,22.758621215820312,23.79310417175293,GL,3.175364327034913e-05
original,2,22,22.758621215820312,23.79310417175293,RCO2R,2.847106588887982e-05
original,2,23,23.79310417175293,24.827587127685547,TG,1.754205186443869e-05
original,2,23,23.79310417175293,24.827587127685547,ROH,4.5221386244520545e-05
original,2,23,23.79310417175293,24.827587127685547,DG,0.00017992363427765667
original,2,23,23.79310417175293,24.827587127685547,MG,5.915771907893941e-05
original,2,23,23.79310417175293,24.827587127685547,GL,3.563479913282208e-05
original,2,23,23.79310417175293,24.827587127685547,RCO2R,2.99764251394663e-05
original,2,24,24.827587127685547,25.86206817626953,TG,1.7797743566916324e-05
original,2,24,24.827587127685547,25.86206817626953,ROH,4.690309287980199e-05
original,2,24,24.827587127685547,25.86206817626953,DG,0.00018318227375857532
original,2,24,24.827587127685547,25.86206817626953,MG,6.196840695338324e-05
original,2,24,24.827587127685547,25.86206817626953,GL,3.9641643525101244e-05
original,2,24,24.827587127685547,25.86206817626953,RCO2R,3.1359028071165085e-05
original,2,25,25.86206817626953,26.89655113220215,TG,1.802863334887661e-05
original,2,25,25.86206817626953,26.89655113220215,ROH,4.842936323257163e-05
original,2,25,25.86206817626953,26.89655113220215,DG,0.00018630517297424376
original,2,25,25.86206817626953,26.89655113220215,MG,6.501584721263498e-05
original,2,25,25.86206817626953,26.89655113220215,GL,4.3706771975848824e-05
original,2,25,25.86206817626953,26.89655113220215,RCO2R,3.263074904680252e-05
original,2,26,26.89655113220215,27.931034088134766,TG,1.823899947339669e-05
original,2,26,26.89655113220215,27.931034088134766,ROH,4.981439997209236e-05
original,2,26,26.89655113220215,27.931034088134766,DG,0.0001892896689241752
original,2,26,26.89655113220215,27.931034088134766,MG,6.830180063843727e-05
original,2,26,26.89655113220215,27.931034088134766,GL,4.777807043865323e-05
original,2,26,26.89655113220215,27.931034088134766,RCO2R,3.380121779628098e-05
original,2,27,27.931034088134766,28.965517044067383,TG,1.8430751879350282e-05
original,2,27,27.931034088134766,28.965517044067383,ROH,5.107155811856501e-05
original,2,27,27.931034088134766,28.965517044067383,DG,0.00019213181803934276
original,2,27,27.931034088134766,28.965517044067383,MG,7.182337139965966e-05
original,2,27,27.931034088134766,28.965517044067383,GL,5.1815346523653716e-05
original,2,27,27.931034088134766,28.965517044067383,RCO2R,3.4880249586421996e-05
original,2,28,28.965517044067383,30.0,TG,1.8607866877573542e-05
original,2,28,28.965517044067383,30.0,ROH,5.221342507866211e-05
original,2,28,28.965517044067383,30.0,DG,0.00019483835785649717
original,2,28,28.965517044067383,30.0,MG,7.557445496786386e-05
original,2,28,28.965517044067383,30.0,GL,5.578864875133149e-05
original,2,28,28.965517044067383,30.0,RCO2R,3.587641549529508e-05
observed_interval,0,0,0.0,1.034482717514038,TG,3.336073859827593e-06
observed_interval,0,0,0.0,1.034482717514038,ROH,4.9690479499986395e-06
observed_interval,0,0,0.0,1.034482717514038,DG,0.00011225810885662213
observed_interval,0,0,0.0,1.034482717514038,MG,2.0960580513929017e-05
observed_interval,0,0,0.0,1.034482717514038,GL,2.7645717636914924e-05
observed_interval,0,0,0.0,1.034482717514038,RCO2R,5.5035097830113955e-06
observed_interval,0,1,1.034482717514038,2.068965435028076,TG,1.970501898540533e-06
observed_interval,0,1,1.034482717514038,2.068965435028076,ROH,3.4912925457319943e-06
observed_interval,0,1,1.034482717514038,2.068965435028076,DG,4.489694401854649e-05
observed_interval,0,1,1.034482717514038,2.068965435028076,MG,1.3729995771427639e-05
observed_interval,0,1,1.034482717514038,2.068965435028076,GL,9.81456287263427e-06
observed_interval,0,1,1.034482717514038,2.068965435028076,RCO2R,4.00050748794456e-06
observed_interval,0,2,2.068965435028076,3.1034483909606934,TG,1.617670591258502e-06
observed_interval,0,2,2.068965435028076,3.1034483909606934,ROH,2.9950383577670436e-06
observed_interval,0,2,2.068965435028076,3.1034483909606934,DG,3.788930916925892e-05
observed_interval,0,2,2.068965435028076,3.1034483909606934,MG,1.4385169379238505e-05
observed_interval,0,2,2.068965435028076,3.1034483909606934,GL,9.220070751325693e-06
observed_interval,0,2,2.068965435028076,3.1034483909606934,RCO2R,3.5227826629125047e-06
observed_interval,0,3,3.1034483909606934,4.137930870056152,TG,1.4465041431321879e-06
observed_interval,0,3,3.1034483909606934,4.137930870056152,ROH,2.72076113105868e-06
